OBJECTID,CITY,CITYCODE,MUNITYPE,DISTRICT,MUNICIPAL,MUNICODE,ACC_INDEX,SUMACCIDEN,INJTOTAL,DEAD,SEVER_INJ,SLIGH_INJ,INJ0_19,INJ20_64,INJ65_,PEDESTRINJ,TOTDRIVERS,VEHICLE,BICYCLE,MOTORCYCLE,PRIVATE,TRUCK
107,בנימינה - גבעת עדה,9800,מועצה מקומית,חיפה,בנימינה - גבעת עדה,9800,16.10867552,393,574,2,19,553,90,438,39,32,712,712,22,35,531,19
108,"בסמ""ה",1326,מועצה מקומית,חיפה,"בסמ""ה",1326,117.9623397,661,1038,2,5,1031,167,811,53,39,1195,1195,4,15,860,52
109,בסמת טבעון,944,מועצה מקומית,צפון,בסמת טבעון,944,16.54090548,65,87,1,2,84,17,63,7,6,103,103,2,4,71,3
110,בענה,483,מועצה מקומית,צפון,בענה,483,57.82886151,200,392,0,6,386,106,270,15,29,347,347,3,7,272,7
111,בית אלעזרי,562,מועצה אזורית,מרכז,ברנר,5528,6.219971221,68,108,3,3,102,12,78,17,3,128,128,1,11,86,3
112,בניה,685,מועצה אזורית,מרכז,ברנר,5528,1.216224174,4,4,0,0,4,0,4,0,0,8,8,0,0,7,0
113,גבעת ברנר,147,מועצה אזורית,מרכז,ברנר,5528,14.79153171,186,265,2,4,259,32,205,27,7,362,362,6,23,290,12
114,גיבתון,196,מועצה אזורית,מרכז,ברנר,5528,5.781794024,2,5,0,0,5,0,5,0,0,4,4,0,0,3,0
115,גן שלמה,144,מועצה אזורית,מרכז,ברנר,5528,8.012205668,28,44,0,1,43,10,29,5,1,57,57,0,4,44,1
116,קדרון,615,מועצה אזורית,מרכז,ברנר,5528,2.547041615,16,21,1,1,19,1,15,2,0,31,31,0,3,16,4
117,בת ים,6200,עירייה,תל אביב,בת ים,6200,378.2931564,3560,4237,12,140,4085,557,2773,749,718,5874,5874,287,810,3307,111
118,ג'דיידה - מכר,1292,מועצה מקומית,צפון,גדיידה - מכר,1292,118.2257942,1075,2264,7,15,2242,505,1690,64,64,2030,2030,39,47,1596,52
119,ג'וליס,485,מועצה מקומית,צפון,גוליס,485,21.26071943,85,141,0,3,138,43,93,4,10,135,135,6,4,107,2
120,ג'לג'וליה,627,מועצה מקומית,מרכז,גלגוליה,627,37.50152504,71,129,1,6,122,20,100,9,4,141,141,2,6,107,9
121,ג'סר אל-זרקא,541,מועצה מקומית,חיפה,גסר אל-זרקא,541,74.15263673,150,192,3,6,183,68,109,10,71,224,224,26,2,129,10
122,ג'ת,628,מועצה מקומית,חיפה,גת,628,47.70271489,356,664,3,20,641,174,463,21,22,633,633,11,11,478,28
123,גבעת שמואל,681,עירייה,מרכז,גבעת שמואל,681,196.8899324,507,608,3,13,592,72,464,57,72,903,903,24,109,613,28
124,גבעתיים,6300,עירייה,תל אביב,גבעתיים,6300,352.2108873,1142,1285,7,54,1224,110,936,204,192,1938,1938,108,433,1035,38
125,גדרה,2550,מועצה מקומית,מרכז,גדרה,2550,56.59025479,647,884,4,14,866,156,638,68,75,1274,1274,29,51,974,59
126,גן הדרום,1072,מועצה אזורית,מרכז,גדרות,5532,10.10818068,22,33,0,0,33,5,24,3,2,42,42,0,4,28,2
127,כפר אביב,857,מועצה אזורית,מרכז,גדרות,5532,3.978937253,9,15,0,2,13,4,9,2,1,17,17,0,0,14,2
128,כפר מרדכי,764,מועצה אזורית,מרכז,גדרות,5532,0.46720973,1,1,0,0,1,0,1,0,0,2,2,0,0,2,0
129,מישר,731,מועצה אזורית,מרכז,גדרות,5532,10.79288828,24,48,3,1,44,7,36,5,0,49,49,1,0,41,3
130,משגב דב,765,מועצה אזורית,מרכז,גדרות,5532,8.380606044,13,25,0,0,25,2,23,0,1,24,24,0,0,18,1
131,עשרת,591,מועצה אזורית,מרכז,גדרות,5532,17.71175352,10,15,0,0,15,5,8,1,1,17,17,0,0,10,1
132,שדמה,555,מועצה אזורית,מרכז,גדרות,5532,6.072882094,12,14,0,1,13,2,12,0,1,21,21,1,0,17,0
133,שטח כללי - גדרות,5532,מועצה אזורית,מרכז,גדרות,5532,7.271738458,6,6,0,0,6,0,6,0,0,12,12,0,1,10,0
134,אבני איתן,4011,מועצה אזורית,צפון,גולן,5571,0.332127123,6,8,0,2,6,3,4,0,0,10,10,1,1,6,1
135,אודם,4010,מועצה אזורית,צפון,גולן,5571,1.455781215,37,78,2,6,70,17,53,8,1,49,49,1,2,35,2
136,אורטל,4013,מועצה אזורית,צפון,גולן,5571,0.460349844,17,27,1,1,25,2,23,2,0,21,21,0,2,13,2
137,אל רום,4003,מועצה אזורית,צפון,גולן,5571,0.871613447,40,73,2,8,63,14,57,2,0,60,60,0,1,41,4
138,אלי על,4002,מועצה אזורית,צפון,גולן,5571,0.529703404,6,14,0,0,14,0,14,0,0,11,11,0,0,8,0
139,אניעם,4012,מועצה אזורית,צפון,גולן,5571,0.437265054,25,42,0,0,42,6,34,2,0,38,38,0,0,25,0
140,אפיק,4301,מועצה אזורית,צפון,גולן,5571,1.287509642,2,5,0,0,5,3,2,0,0,5,5,0,0,5,0
141,גבעת יואב,4021,מועצה אזורית,צפון,גולן,5571,2.729765177,29,53,1,1,51,12,38,3,3,40,40,0,3,30,2
142,גשור,4022,מועצה אזורית,צפון,גולן,5571,0.102520482,2,2,0,1,1,0,2,0,0,2,2,0,0,2,0
143,חד נס,4026,מועצה אזורית,צפון,גולן,5571,0.902030045,61,123,0,5,118,20,94,9,1,100,100,1,2,72,0
144,חספין,4005,מועצה אזורית,צפון,גולן,5571,1.67008098,12,35,2,4,29,9,22,4,1,17,17,0,1,11,0
145,יונתן,4007,מועצה אזורית,צפון,גולן,5571,0.156600022,9,14,0,2,12,3,9,1,1,10,10,0,0,6,0
146,כפר חרוב,4004,מועצה אזורית,צפון,גולן,5571,0.223479485,5,9,0,0,9,1,6,1,0,6,6,1,1,2,0
147,מבוא חמה,4204,מועצה אזורית,צפון,גולן,5571,0.29852434,8,13,0,1,12,0,9,2,0,13,13,0,2,7,0
148,מיצר,4019,מועצה אזורית,צפון,גולן,5571,0.210039822,5,7,0,0,7,2,4,1,0,9,9,0,0,6,0
